id,nm,ly,stu,sys,g,fran
dbpedia_29707,The Raiden Project,01/01/1995,,Playstation,Shoot 'em up,
dbpedia_29708,Doom (1993 video game),"January 01, 1995",Id Software,Super Nintendo,First-person shooter,
dbpedia_29709,Serious Sam: The Second Encounter,"January 01, 2020",Croteam,Windows,First-person shooter,Serious Sam
dbpedia_29711,Shantae Half-Genie Hero,"January 01, 2016",WayForward,5 PlayStation,Action-Adventure Metroidvania,
dbpedia_29712,NBA Courtside 2 Featuring Kobe Bryant,"January 01, 1999",Left Field Productions,Nintendo 64,Sports game,
dbpedia_29715,NBA Hangtime,01.01.1996,Midway Studios San Diego,Microsoft Windows,Sports game,
dbpedia_29718,Tomb Raider: Anniversary,2008-01-01,Crystal Dynamics,Xbox 360,Action-adventure game,Tomb Raider
dbpedia_29719,The Guild 2,"January 01, 2006",D4ci13 Hqmburg,Microsoft Windows,Life simulation game,
dbpedia_29720,Jotun (video game),"January 01, 2018",Thunder Lotus Games,Microsoft Windows,Action-adventure game,
dbpedia_29723,Naruto: Ultimate Ninja,2004-01-01,Racjin,IOS,Fighting game,
dbpedia_29724,Scrabble (video game),01.01.2008,Stainless Games,BlackBerry,Strategy video game,
dbpedia_29725,AND 1 Streetball,01/01/2006,Black Ops Entertainment,PS2,Sports,
dbpedia_29726,De Blob 2,01/01/2011,XB1,Wii,Platform game,
dbpedia_29728,Dragon Ball: Advanced Adventure,,Dimps,Game Boy Advance,Beat 'em Up Arcade,DragoN Ball
dbpedia_29729,Rise of the Triad,01.01.2010,3D Realms,Xbox One,First-person shooter,
dbpedia_29730,Army Men: World War,2000-01-01,The 3DO Company,Microsoft Windows,Real-time tactics,Army Men
dbpedia_29732,Need for Speed: Carbon,01/01/2006,EA Black Box,GameCube,Racing game,
dbpedia_29733,Super Bubble Pop,01/01/2002,Eunecradt (cokpany),Micro soft Windows,Puzzle video game,
dbpedia_29734,L.O.L.: Lack of Love,01/01/2000,Love-de-Lic,Dreamcast,Life simulation game,
dbpedia_29738,"Please, Don't Touch Anything",2019-01-01,Escalation Studios,Mac OS X 10.5,Puzzle video game,
dbpedia_29739,Double Dragon (video game),,Software Creations,Arcade game,,
dbpedia_29740,Grid Runner,199601-01,Radical Entertainment,,Action game,
dbpedia_29741,TwinBee,01/01/2008,Konami,Xbox 360,Scrolling shooter,
dbpedia_29744,After Burner II,"January 01, 1989",Sega AM2,X68000,Combat flight simulator,
dbpedia_29745,Bokosuka,"January 01, 1985",,Virtual Console,Action role-playing game,
dbpedia_29746,Batman: The Telltale Series,01/01/2016,Telltale Games,Xbox One,Adventure game,List of Batman video games
dbpedia_29748,Hard West,,CreativeForge Games,Linux,Turn-based tactics,
dbpedia_29749,Ghostbusters: The Video Game,01.01.2009,Saber Interactive,Xbox One,Action Adventure,(franchise) Ghostbusters
dbpedia_29750,Shrek 2 (video game),2004-01-01,Luxoflux,GameCube,Platform game,
dbpedia_29751,Apotheon,,Alientrap,Linux,Metroidvania,
dbpedia_29755,List of Monster Jam video games,2016-01-01,Inland Productions,DS,Racing,
dbpedia_29756,SpyHunter,01.01.2001,"Point of View, Inc",,Vehicular combat game,
dbpedia_29757,Digital Devil Story: Megami Tensei II,01/01/2006,Atlus,Famicom,Role-playing video game,Megami Tensei
dbpedia_29758,MLB '98,,989 Studios,Playstation,Sports video game,989 Sports MLB series
dbpedia_29759,Pretty Pet Salon,2011-01-01,Drezm Ckr6ex,Android (operating system),Casual game,
dbpedia_29761,Word Rescue,"January 01, 1992",Games Redwood,Microsoft Windows,Educational,
dbpedia_29762,TwinBee,01/01/1988,Arika,3DS,Scrolling shooter,
dbpedia_29763,StarCraft Ghost,,Blizzard Entertainment,,Stealth game,
dbpedia_29764,Sorcerer (video game),01.01.1986,Infocom,Amstrad PCW,Interactive fiction,
dbpedia_29767,Otto Matic,01.01.2004,Pangea,Linux,Action-adventure game,
dbpedia_29769,Nidhogg (video game),2014-01-01,Messhof,PlayStation Vita,Fighting game,
dbpedia_29772,Tiger Woods PGA Tour 2003,01.01.2002,EA Redwood Shores,Mac OS,Sports game,
dbpedia_29773,Phoenix Wright: Ace Attorney,"January 01, 2010",,PlayStation 4,Adventure game,
dbpedia_29774,Guilty Gear Xrd,29q5-01-o1,Arc System Works,Windows,game,6uilty Gcar
dbpedia_29775,Metal Gear Solid (2000 video game),01/01/2000,TOSE,Game Boy Color,Action-adventure game,
dbpedia_29776,Stardew Valley,2017-01-01,ConcernedApe,Android (operating,Role-playing video ga,
dbpedia_29779,Parodius: The Octopus Saves the Earth,,D4 Enterprise,Mobile Phones,Shoot 'em up,Parodius
dbpedia_29780,No Fear Downhill Mountain Biking,"January 01, 2001",Codemasters,GBC,Sports video game,
dbpedia_29781,Knights in the Nightmare,01.01.2008,Sting Entertainment,Deutsche Schule,Role-playing video game,Dept. Heaven
dbpedia_29783,TwinBee,01/01/2019,Arika,Xbox 360,Shoot 'em up,
dbpedia_29784,Secret Files: Sam Peters,2013-01-01,,,Graphic adventure game,Secret Files
dbpedia_29786,Super Puzzle Fighter II Turbo,01.01.1996,Backbone Entertainment,PS3,Fighting game,
dbpedia_29788,List of Monster Jam video games,2008-01-01,Torus Games,GameCube,Racing game,Monster Jam
dbpedia_29789,Video Olympics,,"Atari, Inc.",Atari 2600,Sports game,
dbpedia_29791,Home Alone (video game),1992-01-01,Manley & Associates,Sego 6enesis,Action game,
dbpedia_29792,The Lost Legends of Redwall,01/01/2018,Soma Games,Xbox One,Adventure game,
dbpedia_29793,Bionic Commando (1987 video game),"January 01, 1987",Capcom,ZX Spectrum,Run-and-gun shooter,Bionic Commando
dbpedia_29795,Shadowrun Chronicles: Boston Lockdown,2015-01-01,,I,Turn-based tactics,
dbpedia_29797,"Warhammer 40,000: Space Wolf",01.01.2017,HeroCraft,Android (opcrating systcm),strategy Turn-based,
dbpedia_29799,Michael Jackson: The Experience,2012-01-01,Ubisoft Montreal,Mac OS X,Rhythm game,
dbpedia_29800,List of Fire Pro Wrestling games,01/01/1996,Human Entertainment,PlayStation Network,Professional,
dbpedia_29802,Toki (video game),1989-01-01,Ocean Software,Atari Lynx,Platform game,
dbpedia_29803,SimCity (1989 video game),01.01.1989,Babaroga (game company),OLPC XO-1,City-building game,EimCufy
dbpedia_29804,Shining Resonance Refrain HD Remaster,"January 01, 2014",Media.Vision,Xbox One,Role-playing video game,Shining (series)
dbpedia_29806,Fruit Ninja,2010-01-01,Ho1fbrick Studios,Android (operating system),Arcade game,
dbpedia_29807,Toy Story Mania! (video game),01/01/2009,Papaya Studio,Wii,Party game,Toy Story film franchise
dbpedia_29811,Uno (video game),2017-01-Ol,UBI Chengdu,Switch,Card game,Uno (card game)
dbpedia_29813,Rent a Hero,,Sega,Xbox,Action role-playing game,
dbpedia_29814,,01.01.2011,,Wii,,
dbpedia_29816,Mega Man: The Power Battle,,Capcom,,Fighting game,
dbpedia_29817,Hanjuku Hero,01.01.2003,,Super Nintendo,,
dbpedia_29818,Lode Runner,1984-01-01,Hids9n Aoft,Pravetz computers,Puzzle-platform game,
dbpedia_29819,Scrabble (video game),01/01/2001,Ubisoft Chengdu,Playstation,Stratcgy vidco game,
dbpedia_29822,Natural Doctrine,2014-01-01,Kadokawa Games,PS4,Tactical role-playing game,
dbpedia_29823,Sin and Punishment,2000-01-01,Nintendo Research & 1 Development,IQue Player,Shooting gallery game,
dbpedia_29824,Mortal Kombat (2011 video game),"January 01, 2011",NetherRealm Studios,,Fighting game,
dbpedia_29825,Transference,,Ubisoft Montreal,Windows,Adventure game,
dbpedia_29826,Hard Drivin',"January 01, 1990",Domark,Atari St,Sim racing,
dbpedia_29832,Final Fantasy (video game),,Square (video game company),Playstation,Role-playing video game,
dbpedia_29833,Pixie Hollow (video game),01.01.2008,Disney Interactive Studios,Mac OS X,Massively multiplayer online role-playing game,
dbpedia_29835,List of Fire Pro Wrestling games,2002-01-01,"Spike Technologies, Inc.",PlayStation Network,Professional,
dbpedia_29836,Halo: Combat Evolved Anniversary,2020-01-01,343 Industries,Xbox Series X/S,First-pcrson shootcr,Halo (franchise)
dbpedia_29838,The Bard's Tale (2004 video,01.01.2005,InXike Ebrertainment,PS4,Action role-playing game,The Bard's Tale
dbpedia_29839,Solomon's Key,,Tecmo,ZX Spectrum,Puzzle video game,
dbpedia_29842,Super Time Force,,Games Capybara,OS X,game Action,
dbpedia_29844,Aether (video game),2008-01-01,,Browser game,Puzzle video game,
dbpedia_29846,Akiba's Trip: Undead & Undressed,"January 01, 2013",Acquire (company),Switch,Action-adventure game,
dbpedia_29849,Spider-Man: Friend or Foe,01/01/2007,Next Level Games,Microsoft Windows,Platformer,
dbpedia_29851,Samurai Spirits Anthology,,Terminal,PS2,Fighting game,
dbpedia_29852,Redline (2006 video game),01/01/2006,Amnrodia Softwzre,Mac OS X,Sim racing,
dbpedia_29854,Star Wars: Battlefront (2004 video game),01.01.2004,Pandemic Studios,Xbox,First-person shooter,
dbpedia_29856,Phozon,1983-01-01,Namco,IOS,Puzzle game,
dbpedia_29857,Portal (video game),2010-01-01,,Switch,Puzzle-platform,
dbpedia_29859,Cutthroats (video game),1984-01-01,Infocom,Atari 8-bit family,,
dbpedia_29861,Premier Manager (video game),,Realms of Fantasy,Amiga,Sports video game,
dbpedia_29862,Doom (1993 video game),1994-01-01,Id Softwar,32X,First-person shooter,
dbpedia_29863,Puyo Puyo (video game),01/01/2019,,MSX,Puzzle video game,
dbpedia_29864,Puzzle Bobble 2,"January 01, 1996",Crawfish Interactive,Playstation,Puzzle video game,
dbpedia_29865,Taz-Mania (video game),1992-01-01,Beam Software,Super Nintendo,game,
dbpedia_29866,San Francisco Rush: Extreme Racing,01.01.2006,,PS2,Racing video game,Rush video game series
dbpedia_29870,Star Wars Jedi Knight II: Jedi Outcast,"January 01, 2009",Raven Software,,Hack and sla,Star Wars: Jedi Knight (series)
dbpedia_29871,WCW/nWo Revenge,,,Nintendo 64,List of video game genres,
dbpedia_29872,Solomon's Key,01.01.1991,Tecmo,Boy Game,Puzzle video game,
dbpedia_29874,Rayman Origins,2013-01-01,Ubisoft Montpellier,Windows,Platform game,
dbpedia_29875,Madden 07,"January 01, 2006",EA Tiburon,Wii,Sports gam,
dbpedia_29877,Pro Soccer 2011,"January 01, 2010",Konami,Xbox 360,Sports Video Game,Pro Evolution Soccer
dbpedia_29880,Rival Turf!,01.01.1992,Jaleco,Super Nintendo,Beat'em up,
dbpedia_29881,Zoo Empire,"January 01, 2004",Enlight Software,Microsoft Windows,Construc5ion and managrment simulation gamws,
dbpedia_29882,Disney Friends,01/01/2007,Amaze Entertainme,DS,Sim game,
dbpedia_29883,Salamander (video game),01/01/2003,Konami,Xy809p,shooter Scrolling,Gradius
dbpedia_29884,Madagascar (video game),2005-01-01,Vicarious Visions,PS2,Action Adventure,
dbpedia_29885,Putty Squad,2013-01-01,System 3 (software company),Microsoft Windows,Platformer,
dbpedia_29886,Mistover,2019-01-01,KraftOn,PS4,Rolc-ploying,
dbpedia_29887,Eye of the Beholder (video game),01.01.1994,Westwood Associotcs,Qkita,Dungeon crawl,
dbpedia_29888,Noctropolis,01.01.2015,Flashpoint Productions,MacOS,Adventure game,
dbpedia_29891,Dream Chronicles: The Chosen Child,2011-01-01,,IOS,Adventure game,
dbpedia_29894,Knytt Underground,"January 01, 2012",Nifflas,OS X,game Adventure,Knyt
dbpedia_29896,Joe Danger,"January 01, 2011",Hello Games,Android (operating system),Platform game,
dbpedia_29899,,,Compile Heart,Switch,Role-playing video game,
dbpedia_29900,Bubble Ghost,1990-01-01,ERE Informatique,Amiga,Action video game,
dbpedia_29901,Ys I: Ancient Ys Vanished,"January 01, 1987",Nihon Falcom,X68000,Action role-playi,(series)
dbpedia_29903,Lemmings (video game),"January 01, 1993",,Acorn Archimedes,Strategy video game,
dbpedia_29904,Disgaea: Hour of Darkness,01.01.2003,Ichi Software,IOS,TRPG,Disgaea
dbpedia_29905,Donkey Kong արկադային խաղ,01/01/1988,Ikegami Tsushinki,ColecoVision,Platform game,Donkey Kong
dbpedia_29906,Infinifactory,"January 01, 2015",,J8ceosoft Windows,Puzzle video game,
dbpedia_29907,X2: Wolverine's Revenge,2003-01-01,Aspyr,GameCube,Beat'em up,
dbpedia_29908,Sid Meier's Railroads!,"January 01, 2006",Feral Interactive,,Business simulation game,
dbpedia_29910,XII Stag,,Triangle Service,Arcade Games,Shoot 'em up,
dbpedia_29912,NHL 2000,"January 01, 1999",EA Canada,Microsoft Windows,Sports game,NHL (video game series)
dbpedia_29913,Ferrari GT: Evolution,,,,Racing video game,
dbpedia_29914,List of Monster Jam video games,01/01/2003,Virt,Google Stadia,Racing,
dbpedia_29916,Planet Coaster,2020-01-01,Frontier Developments,MacOS,Construction and management simulation,
dbpedia_29919,Scrabble (video game),01/01/1999,,D S,STrategy video game,
dbpedia_29921,Exit,01/01/2005,"MOSS, the company",Xbox 360,Action game,
dbpedia_29922,Lemmings (video game),,Psygnosis,Atari Lynx,,
dbpedia_29924,1942 (video game),"January 01, 1984",Capcom,MSX,shooter,
dbpedia_29925,SkyDrift,,THQ Nordic,Xbox 360,Arcade racing,
dbpedia_29926,The Elder Scrolls V: Skyrim – Dawnguard,01/01/2012,,Xbox 360,Action role-playing,
dbpedia_29927,Lego Marvel Super Heroes,01/01/2014,TT Fusion,OS X,,
dbpedia_29928,Marathon 2: Durandal,01/01/1995,Freeverse,Xbox 360,FPS,Marathon Trilogy
dbpedia_29929,Bro Force,"January 01, 2018",Free Lives,Windows,game platform Run-and-gun,
dbpedia_29930,Weekly Toro Station,,Sony Entertainment Computer,PSP,News Media,
dbpedia_29931,The Pinball Arcade,01.01.2018,FarSight,Xbox One,Video game genres,
dbpedia_29933,Rome: Total War: Alexander,01/01/2017,Creative Assembly studio,MacOS,Turn-based strategy,Total Wor (video gome series)
dbpedia_29934,Railroad Tycoon II,1998-01-,PopTop Software,,Business simulation game,Railroad Tycoon (series)
dbpedia_29936,The Amazing Spider-Man (2012 video game),"January 01, 2012",,PS3,Action-adventure game,
dbpedia_29939,Bionic Commando Rearmed,2008-01-01,Grin (company),BlackBerry,Platform game,Bionic Commando
dbpedia_29940,Super Baseball 2020,01.01.1991,,Super Nintendo,,
dbpedia_29941,War: Shogun 2,01.01.2014,Creative Assembly studio,MacOS,Real-time tactics,
dbpedia_29942,The Sims 3,01/01/2009,Maxis,Windows Phone,Social simulation game,
dbpedia_29943,Online Bomberman,01.01.2008,Hudson Soft,,Maze,
dbpedia_29945,Rugby League Live 2,"January 01, 2012",Wicked Witch Software,IOS,Sports game,Rugby League (video game series)
dbpedia_29946,The Path (video game),01/01/2009,Tale of Tales (developer),,,
dbpedia_29948,Michael Jackson: The Experience,01.01.2015,Ubisoft Milan,IPhone,,
dbpedia_29949,List of Monster Jam video games,01/01/2007,Virtuos,PS2,Racing game,Monster Jam
dbpedia_29950,Salt & Sanctuary,2018-01-01,,PS4,Metroidvania,
dbpedia_29951,Naruto: Ultimate Ninja,01.01.2003,Racjin,PS2,Fighting game,
dbpedia_29952,Uno (card game),01.01.2010,PS4,WiiWare,Card game,Uno (card game)
dbpedia_29953,R: Racing Evolution,01/01/2003,Namco,Xbox,Racing game,
dbpedia_29955,Lemmings (video game),01/01/1991,,Sharp X68000,,
dbpedia_29956,Just Dance 2018,"January 01, 2017",Bucharest,PS3,Music video game,
dbpedia_29957,Pokémon Trading Card Game (video game),1998-01-01,"Creatures, Inc.",Game Boy Color,Digital collectible card game,Pokémon (video game series)
dbpedia_29958,Trine 4: The Nightmare Prince,2019-01-01,Frozenbyt,Google Stadia,Action-adventure,
dbpedia_29959,Final Fantasy III (2006 video game),,Square Enix,DS,Role-playing game,
dbpedia_29962,LibreOffice,01/01/2011,The Document Foundation,ARMhf,Office productivity suite,
dbpedia_29963,2006 FIFA World Cup (video game),01/01/2006,EW Vabada,Game Boy Advance,Sports game,
dbpedia_29964,Danganronpa 2: Goodbye Despair,"January 01, 2016",,,Visual novel,Danganronpa
dbpedia_29965,Toki Tori,,Two Tribes (company),Linux,Puzzle video gam,
dbpedia_29966,Five Nights at Freddy's: Help Wanted,01/01/2019,,IOS,Survival horror,
dbpedia_29967,Kanon (video game),01.01.2000,Key (company),IOS,Eroge,
dbpedia_29968,Carnival Games,2008-01-01,Cat Daddy Games,Wii,Oart7 vame,
dbpedia_29970,Never 7: The End of Infinity,01.01.2009,KID,IOS,Visual novel,Infinity (video game series)
dbpedia_29972,Brian Lara Cricket,,Audiogenic,Sega Genesis,Sports game,Brian Lara Cricket (series)
dbpedia_29973,Samorost 2,01.01.2020,Amanita,,Adventure game,
dbpedia_29974,Marvel vs. Capcom 2: New Age of Heroes,"January 01, 2009",Capcom,PS3,Fighting game,Marvel vs. Capcom
dbpedia_29976,Record of Agarest War,01.01.2007,Laughing Jackal,Android (operating system),Tactical role-playing game,
dbpedia_29977,MLB 12 The Show,01.01.2012,San Diego Studio,PS3,game Sports,MLB: The Show (sEries)
dbpedia_29980,The Witness (1983 video game),,Infocom,Apple II,Interactive fiction,
dbpedia_29981,Sanitarium (video game),01/01/1998,DotEmu,IOS,Point-and-click adventure game,
dbpedia_29983,Prince of Persia Classic,"January 01, 2011",Gameloft,IOS,,Prince of Persia
dbpedia_29984,Multiwinia,01.01.2008,Introversion Software,Microsoft Windows,,
dbpedia_29985,Teenage Mutant Ninja Turtles (arcade game),01/01/1989,Konami,Xbox 360,Beat 'em up,List of Teenage Mutant Ninja Turtles video games
dbpedia_29986,Alien: Isolation,,Creative AssembLy,J0X,Action-advcnturc,"games of Alien, Predator, and Alien vs. Predator List"
dbpedia_29987,Machinarium,2013-01-01,Amanita Design,OS X,Adventure game,
dbpedia_29988,Tron 2.0,01/01/2003,Monolith Productions,Xbox,FPS,Tron
dbpedia_29990,NASCAR 21: Ignition,"January 01, 2021",Kot9rspor6 Games,Microsoft Windows,Racing video game,
dbpedia_29991,IL-2 Sturmovik: Birds of Prey,01.01.2009,Xbox 360,PlayStation Portable,Combat flight simulation game,
dbpedia_29992,The Count (video game),,,Dragon 32/64,Interactive fiction,List of Scott Adams Adventure video games
dbpedia_29993,Ben 10: Omniverse 2,01.01.2013,High Voltage Software,,,
dbpedia_29994,Daisenryaku,01.01.2007,SystemSoft Alp ha,Dreamcast,Turn-based strategy,
dbpedia_29995,SCB,"January 01, 2012",Vlambeer,,Shoot 'em up,
dbpedia_29996,The Dark Eye: Memoria,01/01/2013,Daedalic,Switch,Point-and-click game adventure,The Dark Eye
dbpedia_29999,Shining Tears,,Amusement Vision,PS2,Action game role-playing,
dbpedia_30001,Atelier Rorona: The Alchemist of Arland,2015-01-01,,3DS,Role-playing video game,
dbpedia_30003,Tangle Tower,2021-01-01,SFB Games,Switch,Adventure game,
dbpedia_30004,Hades (video game),,Games Supergiant,PlayStation 5,,
dbpedia_30009,Tales of Eternia,2005-01-01,Namco Tales Studio,PlayStation Portable,,
dbpedia_30011,Robots (2005 video game),01.01.2005,Griptonite Games,PS2,Platform game,
dbpedia_30012,Shantae: Half-Genie Hero,"January 01, 2017",,PlayStation Vita,Metroidvania,Zhamtqe
dbpedia_30013,Oddworld: Stranger's Wrath,01/01/2005,Just Add Water (company),Zvix One,shooter,Oddworld
dbpedia_30014,Peggle,01.01.2010,PopCap Games,Mac OS X 10.5,Puzzle video game,
dbpedia_30015,Suspect (video game),01.01.1984,Infocom,Amiga,Interactive fiction,
dbpedia_30017,Demolition Racer,01.01.2000,Pitbull Syndicate,Dreamcast,Racing video game,
dbpedia_30018,,2022-01-01,Interactive,GNU/Linux,,The Total War video game series
dbpedia_30020,Diablo III: Reaper of Souls,01.01.2018,Blizzard Entertainment,Xbox 360,Action role-playing game,Diablo (series)
dbpedia_30022,,1992-01-01,Spike Chunsoft,Super Nintendo,Professional wrestling,
dbpedia_30029,The Pinball Arcade,2015-01-01,FarSight Studios,PlayStation 4,Videogame genres,
dbpedia_30030,Dragon Quest Heroes: The World Tree's Woe and the Blight Below,2017-01-01,Omega Force,,Hack and slash,
dbpedia_30032,Super Scribblenauts,"January 01, 2010",5th Cell,Nintendo DS,Emergent gameplay,Scribblenauts (video game series)
dbpedia_30034,The Bigs,2007-01-01,Blue Castle Games,PS2,Baseball,
dbpedia_30035,Into the Dead,2012-01-01,PikPok,IOS,Action game,
dbpedia_30036,Final Fantasy Tactics: The War of the Lions,01.01.2013,TOSE,IOS,TRPG,1valiee Alliance
dbpedia_30037,Shatter (video game),"January 01, 2012",,XB1,game Arcade,
dbpedia_30038,Yoshi's Crafted World,2019-01-01,Good-F eel,Switch,Platform game,List of Yoshi games
dbpedia_30040,Buzz!: The Schools Quiz,"January 01, 2008",Relentless Software,PS2,Educafiobao game,
dbpedia_30041,Super Puzzle Bobble,01.01.2004,Taito,Microsoft Windows,Puzzle video game,
dbpedia_30042,Donkey Kong (video game),1982-01-01,Nintendo Research & Development 1,Amstrad CPC,,
dbpedia_30043,Oddworld: Stranger's Wrath,01.01.2020,Android (operating system),MacOS,First-person shooter,
dbpedia_30044,Top Spin (video game),2003-01-01,PAM Development,Microsoft,game,
dbpedia_30045,4th Super Robot Wars,l997-01-0l,Winkysoft,Sony PlayStation,Tactical role-playing,Super Robot Wars
dbpedia_30046,Hamster Monogatari 64,,Culture Brain,Nintendo 64,Life simulation game,
dbpedia_30047,Shining Force,,,Game Boy Advance,Tactical role-playing,Shining (series)
dbpedia_30048,Championship Manager: Season 01/02,01/01/2002,Sports Interactive,Xbox,Sport,
dbpedia_30049,Toy Story (video game),"January 01, 1995",,Microsoft Windows,Platform game,Foy Stort (dranchise)
dbpedia_30050,Where in the World Is Carmen Sandiego? (1985 video game),,Brøderbund Software,,Strategy game,Carmen Sandiego (video game series)
dbpedia_30051,Vanquish (video game),,PlatinumGames,Windows,TPS,
dbpedia_30053,Flappy,01.01.1985,DB-SOFT,PC-8000 series,Puzzle game,
dbpedia_30055,Tales of Innocence,01/01/2012,Alfa System,PS Vita,Action role-playing game,Tales (video game
dbpedia_30057,Crush (video game),2007-01-01,,PlayStation Portable,Puzzle-platform game,
dbpedia_30058,Flock!,2009-01-01,Proper Games,Xbox 360,Puzzle game,
dbpedia_30059,Street Fighter II: Champion Edition,1993-01-01,,PC Engine,Fighting game,
dbpedia_30062,Rome: Total War: Alexander,2006-01-01,Creative Assembly,MacOS,RTT,
dbpedia_30063,Ben 10 Ultimate Alien: Cosmic Destruction,"January 01, 2010",Griptonite Games,,game,
dbpedia_30064,Shadowgate,"January 01, 1989",ICOM Simulations,DOS,Adventure game,
dbpedia_30067,Deemo,2019-01-01,Rayark,Switch,Rhythm game,
dbpedia_30069,Frostpunk,01/01/2021,11 bit studios,IOS,City-building game,
dbpedia_30070,Space Griffon VF-9,01.01.1995,Panther Software,Playstation,First-pcrson sbooter,
dbpedia_30072,Pro Evolution Soccer 2008,2008-O1-0l,Konami,DS,Sports game,
dbpedia_30073,List of Monster Jam video games,"January 01, 2020",Team6 Game Studios,IOS,,
dbpedia_30074,Fight Night Champion,01/01/2011,Electronic Arts Vancouver,10S,Sports Video Game,
dbpedia_30075,Phantasy Star Collection,"January 01, 1998",Digital Eclipse,PS2,Role-playing video game,Phantasy Star
dbpedia_30076,Disney's Beauty and the Beast (SNES video game),01.01.1994,,Super Nintendo,Platform game,
dbpedia_30077,Balloon Fight,01/01/2004,HAL Laboratory,Sharp MZ,Actiongame,
dbpedia_30079,Phineas and Ferb: Quest for Cool Stuff,01/01/2013,Behaviour Interactive,Nintendo 3DS,Platform gomc,
dbpedia_30080,Theme Park (video game),,,3DO Interactive Multiplayer,Construction and management simulation game,
dbpedia_30081,Battle Fantasia,01.01.2008,Arc System Works,Arcade game,Fighting game,
dbpedia_30082,,1985-01-01,Konami,,Run and gun game,
dbpedia_30086,Scrabble (video game),01/01/2002,,,Strategy video game,
dbpedia_30087,,,Cdv software Entertainment,Microsoft Windows,Business simulation game,Lula games
dbpedia_30088,From Dust,01/01/2011,,Chrome,God game,
dbpedia_30089,Alone in the Dark (2008 video game),"January 01, 2008",Eden Games,Microsoft Windows,Survival horror,Alone in the
dbpedia_30090,Transformers: Revenge of the Fallen (video game),01.01.2009,Savage Entertainment,PS2,Third-person shooter,
dbpedia_30091,Metroid (video game),01/01/1987,Nintendo Research & Development 1,Nintendo Entertainment System,Action-adventure game,
dbpedia_30093,Karate Champ,1988-01-01,Technōs Japan,Virtual Console,game Fighting,
dbpedia_30098,NASCAR Thunder 2003,"January 01, 2002",Image Space Incorporated,Xbox,Sim racing,
dbpedia_30100,Conflict: Vietnam,"January 01, 2005",Pivotal Games,N-Gage (device),Tactical shooter,
dbpedia_30101,Shadow of the Comet,01.01.1993,Infogrames,PC-98,Adventure game,
dbpedia_30102,Online Bomberman,2008-01-01,Hudson Soft,PS2,Party video game,Bomberma
dbpedia_30104,TwinBee,,,DS,Scrolling shooter,
dbpedia_30105,Shadow Dancer: The Secret of Shinobi,1990-01-01,Sega,Sega Genesis,Hack and Slash Action,
dbpedia_30108,Doom II,01.01.1995,,IOS,First-person shooter,
dbpedia_30109,X-Men: Children of the Atom (video game),01.01.1997,Capcom,,Fighter,List of X-Men video games
dbpedia_30110,Oddworld: Stranger's Wrath,01.01.2015,Ouya,OnLive,Action-adventure game,
dbpedia_30112,NASCAR Heat 2002,01/01/2002,Games,PS2,Racing video game,
dbpedia_30113,Might and Magic VII: For Blood and Honor,01.01.1999,New World Computing,Microsoft Windows,Role-playing video game,
dbpedia_30114,Bob the Builder: Festival of Fun,2007-01-01,Atomic Planet Entertainment,Wii,Action Arcade,
dbpedia_30115,Tales of Phantasia,"January 01, 2013",Namco Tales Studio,SNES,Action role-playing game,
dbpedia_30116,Beatmania IIDX 8th Style,"January 01, 2004",Konami Computer Entertainment Japan,Arcade game,Music video game,Beatmania IIDX
dbpedia_30117,Dizzy Panic,,Big Red Software,ZX Spectrum,,
dbpedia_30118,Dragon Knight 4,"January 01, 1997",ELF Corporation,Super Nintendo,Strategy role-playing game,
dbpedia_30120,Airport Mania: First Flight,01/01/2011,Reflexive Entertainment,Microsoft Windows,Time management (video game genre),
dbpedia_30121,,01.01.2014,Codemasters,Switch,,Grid (series)
dbpedia_30122,Serious Sam 4,"January 01, 2021",Croteam,Google Stadia,First-person shooter,Serious Sam
dbpedia_30123,Guitar Rock Tour,,Gameloft,Java ME,Music video game,
dbpedia_30124,MX 2002 featuring Ricky Carmichael,"January 01, 2001",Tiertex Studios Design,PS2,Racing video game,MX (series)
dbpedia_30125,Oddworld: Stranger's Wrath,01/01/2022,Oddworld Inhabitants,OnLive,shooter,Oddworld
dbpedia_30126,Paladins (video game),2p26-02-01,,PS4,,
dbpedia_30127,Grid 2,01/01/2014,Codemasters,OS X,Racing video game,Grid (series)
dbpedia_30130,Crystalis,01.01.1990,Digital Eclipse,Switch,Action-adventure game,
dbpedia_30131,Virtual Villagers,2008-01-01,Last Day of Work,Palm OS,,
dbpedia_30136,Naruto: Ultimate Ninja,"January 01, 2003","GREE, Inc.",PS Portable,Fighting,
dbpedia_30138,Musya,1992-01-,Jorudan,Super Nintendo,Platform game,
dbpedia_30141,Tron 2.0 Deluxe,01/01/2004,Climax Group,Game Boy Advance,First-person shooter,
dbpedia_30143,The Legend of Kage,01.01.1985,Imagine SofTware,X1 (computer),Hack-and-slash,
dbpedia_30144,Shantae and the Pirate's Curse,,WayForward,Amazon Fire TV,Metroidvania,
dbpedia_30145,Shun Umihara,01/01/2008,Success (company),,,
dbpedia_30148,Super Bobble,2000-01-01,Fsitl,PS2,Puzzle video game,
dbpedia_30149,Ultima II: The Revenge of the Enchantress,01.01.1982,,NEC PC-9801,video Role-playing game,
dbpedia_30151,Tennis (1984 video game),01.01.1984,EAD Nintendo,PlayChoice-10,Sports video game,
