id,t,ar,rd,rc,du,lb,g,tk
mbrainz_10043,There the Open Spaces,Sleeping States,2007,United States of America,0:00:00,,,"['Rain Check', 'Rivers', 'Planning My Escape', 'The Sleeping States, or Who Has Been Rocking My Dreamboat?', 'Come Closer to Me Now', 'Contact Lunacy', 'September, Maybe', 'I Wonder', 'The Next Step', 'The Times I Have Fallen for You', 'Memory Games', 'Life vs. Love']"
mbrainz_10055,The Music of Ennio Morricone,"Morricone, Ennio",,Netherlands,67:45,,,"['Once Upon a Time in the West', 'The Man With the Harmonica', 'For a Few Dollars More', 'My Name Is Nobody', ""Cockeye's Song"", 'The Good, the Bad & The Ugly', 'Chi Mai', 'A Fistful of Dollars', ""Here's to You"", 'Poem of a Woman', 'Moses Theme (main title)', 'The Adventurer', 'Le Train', 'Orient Express', 'A Gun for Ringo', 'Bye Bye Colonel', 'Good Luck Jack', 'A Fistful of Dynamite', 'La libertad', 'The Secret']"
mbrainz_10066,Echoes of the Rotting,Atrocious Abnormality,2007,,0:30:08,,,
mbrainz_10070,United Acid Emirates,Ceephax Acid Crew,,United Kingdom of Great Britain and Northern Ireland,56m 2s,,,"[""Cedric's Sonnet"", 'Castilian', 'New River Company', 'Commuter', 'Glocker', 'Life Funk', ""Sidney's Sizzler"", 'Trabzonspor', 'Topaz', 'Emotinium II', 'The Celebrity', 'Denizlispor', 'Arcadian (Castilian II)', 'Royal Lounge']"
mbrainz_10074,The West is the Future,Kid Dakota,01.01.2006,United States of America,0:51:37,,,"['Pilgrim', 'Homesteader', 'Pine Ridge', 'Ivan', 'Ten Thousand Lakes', 'Starlight Motel', 'Winterkill', '2001', 'Atomic Pilgrim']"
mbrainz_10077,United Colours of Beggattron,Foreign Beggars,2009,United Kingdom of Great Britain and Northern Ireland,3122,,,"['Intro', 'Higher', 'Keep It Cominâ€™', 'Break Free', 'Donâ€™t Dhoow It', 'Hereford Hospital', 'Seven Figure Swagger', 'Contact', 'Shake It', 'Get a Bit More', 'Corridors', 'Asylum Bound', 'Bigâ€™nâ€™Black', 'Prove It', 'Some Adviceâ€¦', 'No More', 'Keepin the Line Fat', 'No Holes Barred', 'Safedrian']"
mbrainz_10078,Well Oiled,"Quireboys, The",2004-01-01,,2397,,,"['Good to See Ya', 'The Finer Stuff', 'Lorraine Lorraine', 'Too Familiar', ""You've Got a Nerve"", ""What's Your Name?"", 'Sweet as the Rain', 'The Last Fence', 'Black Mariah']"
mbrainz_10084,Fantasmagorie,Akurat,31.05.2006,Poland,45m 54s,,,"['Tylko najwiÄ™ksi', 'Fantasmagorie', 'SÅ‚owa majÄ… mnie', 'Kiedy wrÃ³cÄ™ tu', 'Demo', 'Sama Å›mietanka', 'Szerzej', 'Garb', 'Kiedy bliÅ¼ej z tobÄ… bÄ™dÄ™', 'Jeden czÅ‚owiek to jeden sens', 'PracujÄ™', 'Å?an', 'Czy to juÅ¼']"
mbrainz_10092,Yellow Submarine,"Beatles, The",,Canada,2406,,,"['Yellow Submarine', 'Only a Northern Song', 'All Together Now', 'Hey Bulldog', 'Itâ€™s All Too Much', 'All You Need Is Love', 'Pepperland', 'Sea of Time', 'Sea of Holes', 'Sea of Monsters', 'March of the Meanies', 'Pepperland Laid Waste', 'Yellow Submarine in Pepperland']"
mbrainz_10099,Daydream,Beach Fossils,02/09/2010,United States of America,7:05,,,"['Daydream', 'Desert Sand']"
mbrainz_10107,Antidotes: Tour Edition,Foals,2008,France,3817,,,"['The French Open', 'Cassius', 'Red Socks Pugie', 'Olympic Airways', 'Electric Bloom', 'Balloons', 'Heavy Water', 'Two Steps Twice', 'Big Big Love (Fig. 2)', 'Like Swimming', 'Tron', 'Titan Arum', 'Gold Gold Gold', 'Mathletics', 'Hummer']"
mbrainz_10108,Mountain of Judgement (orig.),Mountain of Judgement,01/01/2009,,1:05:26,,,"['Neptunes Reign', 'Magic Eye', 'The Witch', 'One Within the Beyond', 'Bringer of Infinity', 'Globule', 'The Burning Stone - Neptunes Reign', 'Magic Eye']"
mbrainz_10112,Visions,Disasteradio,2007-10-11,New Zealand,0:41:53,,,"['Awesome Feelings', 'Computer Graphics', 'Ultravision', 'Hotline', 'Three Minute Party', 'Take Back The Rave', 'Digital Pop', 'Marathon', 'Stairdancer', 'Believe In Yourself', 'Dancing Fantasy', 'Virtual Sunset']"
mbrainz_10116,"Forever, Until Victory! The Singles Collection",Close Lobsters,01/01/2009,Kingdom of Great Britain and Northern Ireland,61:00,,,"['Going to Heaven to See If It Rains', 'Never Seen Before', ""Let's Make Some Plans"", 'What Is There to Smile About', 'Loopholes', 'Nature Thing', 'Skyscrapers Of St. Mirin', 'In Spite of These Times', 'From This Day On', ""Don't Worry"", 'Firestation Towers', 'Pimps', 'Hey Hey My My (Into the Black)', 'Paperthin Hotel', 'Wide Waterways', 'Boys and Girls', 'Pathetik Trivia', 'Get What They Deserve', 'Never Seen Before (Live)']"
mbrainz_10117,Nightmare,"Ghost Frequency, The (and others)",2007-01-01,United Kingdom of Great Britain and Northern Ireland,9:21,,,"['Nightmare', 'For the Wolves', 'Nightmare (7"" version)']"
mbrainz_10119,Monster of a Diary,Gary Celebrity,,,0:36:16,,,"['Celluloid Heroes', 'Fairies to London', 'Golden Boys', 'Gods', 'Hobos', 'Hooray for Hollywood', 'Lifes a Gas', 'If You Want to Be Free', ""Mama's Boy"", 'Do Re Me', ""I'm Your Friend""]"
mbrainz_10120,Bookshop Casanova,"Clientele, The",28.08.2007,,599,,,"['Bookshop Casanova', 'The Fire', 'Girl From Somewhere']"
mbrainz_10131,Mission California,Cross Canadian Ragweed,10/02/2007,,0:54:11,,,"['Record Exec', 'Dead Man', 'Deal', 'Lawrence', 'In Oklahoma', 'Cry Lonely', 'Smoke Another', 'Soul Agent', 'Walls to Climb', 'The Years', 'Jenny', 'I Believe You', 'NYCG']"
mbrainz_10140,The Consequences of Indecisions,Mike Oldfield,1981,Germany,2088,,,"['Oivallettu matkalyhty', 'KÃ¤det suoristavat veden', 'Matemaatikon lentonÃ¤ytÃ¶s', 'PÃ¤Ã¤ntaivuttelun seuraukset', 'Varjojen varaslÃ¤htÃ¶']"
mbrainz_10145,Warning,Green Day feat.,01/01/2000,,536,,,"['Warning', 'Outsider', 'Suffocate']"
mbrainz_10183,Brave New World,Psilocybe Project,2010,,75:27,,,"['Infinite Universe', 'Dream Your Dream', 'Brave New World', 'The Story Teller', 'Changed Forever', 'Illusion of Love', 'Time to Be Alive, Part 2', 'Separation Anxiety', 'On the Road', ""It's All About the Music""]"
mbrainz_10192,Spirit Within,Machine Made,09/06/2005,United States of America,61:20,,,"[""Don't Bring Me Down (intro)"", 'Fast as Ever', ""I Can't Take the Pain"", 'Ghost', ""I'd Die for You"", 'World of Sadness', 'New Frontier', 'I Break the Chain', 'What Would You Do for Love?', ""It's Too Late for Me"", 'Ghost (Haunted mix)', 'What Would You Do for Love? (No Love mix)', 'Ghost (Spirit Within mix)', 'Fast as Ever (Stealth mix)', 'Ghost (Poltergeist mix)']"
mbrainz_10196,Men of the Future,Moonbootica,25.02.2010,,14:43,,,"['Men of the Future', 'Men of the Future (Kris Menace remix)']"
mbrainz_10198,The Masterplan,Discotronic,04/21/2008,,0:35:32,,,
mbrainz_10200,Bless This Broken Body,Fear of Dolls,2002-01-01,United States of America,19m 47s,,,"['[untitled]', 'Screaming Inside Her', 'Bless This Broken Body', 'She Was Laughing', '[untitled]']"
mbrainz_10202,Blackout,,01/01/2009,,0:46:06,,,
mbrainz_10203,Broken Ground,Waterson:Carthy,,,0:59:59,,,"['Raggle-Taggle Gipsies', 'The Bay of Biscay', 'Sheffield Waltz / Waltz Clog / The Wounded Hussar', ""The Lion's Den"", 'Fare Thee Well Cold Winter', ""Rowling Hornpipe / Our Cat Has Kitted / Bleaton Gardens / Sportsman's Hornpipe"", 'The Forsaken Mermaid', 'We Poor Labouring Men', 'The Ditchling Carol', ""Dorrington Lads / Adam a'Bell"", 'The Royal Forester / The Bald Headed End of the Broom']"
mbrainz_10221,Fearless,"Curry, Tim",01.01.2005,,0:51:30,,,"['Right on the Money', 'Hide This Face', 'I Do the Rock', 'SOS', 'Cold Blue Steel and Sweet Fire', 'Paradise Garage', 'No Love on the Street', 'Something Short of Paradise', 'Charge It', 'Paradise Garage (single edit)', 'Charge It (single edit)', 'I Do the Rock (Higher Fidelity mix)']"
mbrainz_10222,Cavern Stomp: The Complete Recordings,"Big Three, The",2009,United Kingdom of Great Britain and Northern Ireland,4543,,,"[""What'd I Say"", ""Don't Start Running Away"", 'Zip-a-Dee-Doo-Dah', ""Reelin' and Rockin'"", 'Bring It On Home to Me', 'Some Other Guy', 'Let True Love Begin', 'By the Way', 'Cavern Stomp', ""I'm With You"", 'Peanut Butter', 'If You Ever Change Your Mind', ""You've Gotta Keep Her Under Hand"", 'High School Confidential', 'If You Ever Change Your Mind (Bring It On Home to Me)', 'Some Other Guy', 'Lavender Blue', ""Rockin' Robin"", 'Always', 'I Got It', 'Angel Baby', 'Just a Little Bit', 'Let It Rock', 'Money', 'I Know', ""I Can't Believe You Want to Leave"", 'All of Me', 'Price Of Love', 'Dizzy Miss Lizzy', 'If You Gotta Make a Fool of Somebody', 'Lucille']"
mbrainz_10229,Reggae Classics,"Wilson, Delroy",01.01.1984,United Kingdom of Great Britain and Northern Ireland,0:00:00,,,"['Island in the Stream', 'Wish You Were Here', ""Hard to Say I'm Sorry"", ""(There's) Always Something There to Remind Me"", 'New York City', ""You've Lost That Loving Feeling"", 'Letter to Mummy & Daddy', 'Suspicion']"
mbrainz_10230,Experience the Sacrilege,Pleurisy,,,2819,,,"['Mission Transformed', 'Experience the Sacrilege', 'Bid Your Pleasures', 'Gone From the Sun', 'Ineluki', 'Divinity in Decay', 'Witchcraft', 'Trail of Destination', 'In Darkness Mortification of Flesh']"
mbrainz_10236,Red on Chrome,Crowpath,2004-04-20,United States of America,29:54,,,"['Hellbound', 'Like Flies to Flames', 'Protected by Judas', 'The Suburban Plague', 'XIII', 'Bastard City', 'Red on Chrome', 'Kings Among Cockroaches', 'Slipping', 'Where Jacky Jawless Lives', 'The Precise Art of Knives', 'Phrases', 'Clean']"
mbrainz_10238,Lady in the Radiator,Examination of theâ€¦,01/01/2002,United States of America,19:19,,,"['Lelani Ulalume (The Making Prosaic), Part 1', 'We Are, in fact, So Ripe', 'Lelani Ulalume (The Riding Eyes), Part 2', 'The Bloke, The Opium Breather', 'Essays in the Moonlight; Dysmorphi']"
mbrainz_10239,The Whitest of Elephants,Examination of the…,2003-01-01,United States of America,,,,"['Kicking a Dead Horse Aside', 'To Anacreon in Heaven', 'Ressurecting the Stones', 'Whitest of the Elephants']"
mbrainz_10240,Dreamland,"Peyroux, Madeleine",1996-10-01,United States of America,39m 29s,,,"['Walkinâ€™ After Midnight', 'Hey Sweet Man', ""I'm Gonna Sit Right Down and Write Myself a Letter"", '(Getting Some) Fun Out of Life', 'La Vie en rose', 'Always a Use', 'A Prayer', 'Muddy Water', 'Was I?', 'Dreamland', 'Reckless Blues', 'Lovesick Blues']"
mbrainz_10244,Chrome,"Adkins, Trace",2001-10-09,United States of America,0:46:16,,,"['Chrome', 'Help Me Understand', 'Once Upon a Fool Ago', ""I'm Tryin'"", 'Thankful Man', ""I'm Payin' for It Now"", 'And There Was You', 'Come Home', 'Scream', ""I'm Goin' Back"", 'Give Me You', ""Love Me Like There's No Tomorrow""]"
mbrainz_10253,Beyond the Dune Sea,Dune the Beyond Sea,2010-03-09,Canada,28m 1s,,,"['Welcome to the Dunes', 'The Dune Sea', 'The Red Tide', 'Time is of the Essence', 'Save Game', 'Embryo', 'Reflection in the Sea', 'Final Solution', 'Welcome to the Dunes (Reprise)', 'Return from the Sea']"
mbrainz_10255,Spirit of the Wolf,Llewellyn,,,0:52:25,,,"['Wolf Wisdom', 'The Watcher', 'Summoning of the Spirit', 'Hunters and the Hunted', 'Old Wisdom', 'Spirit of the Wolf', 'Alpha Love', 'Runners', 'Winter Caves']"
mbrainz_10268,Memories For The Future,Free Jazz Quartet,2009-01-01,United Kingdom of Great Britain and Northern Ireland,0:00,,,"['A Fertile Valley', 'Pulsate', 'Summoning', 'Octavian Law', 'Vibrational', 'Memories for the Future', 'Harmonious Revelations', 'Blurring of Boundaries']"
mbrainz_10293,,Mux Mool,02.02.2010,United States of America,16:16,,,"['Teal Trim (edit)', 'Ladies Know (live edit)', 'Drum Babylon', 'Goblin Town', 'Death 9000 (Prof & P.O.S. Broadcasting version)']"
mbrainz_10294,Man Alive,"Kelly, Eugene",2003-01-01,Japan,53m 38s,,,"[""I'm Done With Drugs"", ""I'll Be Yours"", 'Older Faster', 'Seven Out', ""You're Having My Sex"", 'Stop the Press', 'Ride the Dream Comet', 'Sinking Ship', 'Bridge From Eden', 'The Healing Power of Firewalking', 'She Wears My Ring', 'Noise and Smoky Breath', 'Dear John', 'Chemical Reaction', 'I Done Something Wrong', 'Blessed and Misplaced']"
mbrainz_10302,Savage Garden,"69 Eyes, The",04/10/1995,Cihlqnd,51:46,,,"['1-800-Sleazorama', 'Tang', ""Smashed'n'Trashed"", 'Velvet Touch', 'Mr. Pain', 'Lady Luck', 'Motor City Resurrection', 'Ghettoway Car', 'Wild Talk', 'Get It Off', 'Always', 'Demolition Derby', 'Savage Garden', '[silence]', '[silence]', '[silence]', '[silence]', '[silence]', '[silence]', '[silence]', '[silence]', '[silence]', '[silence]', '[silence]', '[silence]', '[silence]', '[silence]', '[silence]', '[silence]', '[silence]', '[silence]', '[silence]', '[silence]', '[silence]', '[silence]', '[silence]', '[silence]', '[silence]', '[silence]', '[silence]', '[silence]', '[silence]', '[silence]', '[silence]', '[silence]', '[silence]', '[silence]', '[silence]', '[silence]', '[silence]', '[silence]', '[silence]', '[silence]', '[silence]', '[silence]', '[silence]', '[silence]', '[silence]', '[silence]', '[silence]', '[silence]', '[silence]', '[silence]', '[silence]', '[silence]', '[silence]', '[silence]', '[silence]', '[untitled]']"
mbrainz_10321,Electronic Virtuosity,"Sala, Oskar",1970-01-01,Germany,36:02,,,"['Suite for Mixture-Trautonium and Electronic Percussion: Dance With Percussion Solo', 'Suite for Mixture-Trautonium and Electronic Percussion: Agitato', 'Suite for Mixture-Trautonium and Electronic Percussion: Light March Rhythm', 'Suite for Mixture-Trautonium and Electronic Percussion: Meditation', 'Suite for Mixture-Trautonium and Electronic Percussion: Interlude With Some Percussion Effects', 'Suite for Mixture-Trautonium and Electronic Percussion: Echo-Structures', 'Suite for Mixture-Trautonium and Electronic Percussion: Improvisation for Electronic Percussion', 'Resonances: Concerto for Mixture-Trautonium and Electronic Orchestra: Fugato', 'Resonances: Concerto for Mixture-Trautonium and Electronic Orchestra: Concertando', 'Resonances: Concerto for Mixture-Trautonium and Electronic Orchestra: Ostinato']"
mbrainz_10328,Tragedy,Hanoi Rocks,01/01/1981,Japan,0s,,,"['Tragedy', ""Don't Never Leave Me""]"
mbrainz_10329,Morning Is Broken,"Cole, Lloyd",1994,United States of America,18:30,,,
mbrainz_10331,Encores,"Perlman, Itzhak",1974,United Kingdom of Great Britain and Northern Ireland,0:49:10,,,
mbrainz_10336,"Casino ""Sans Pareil"" / A Better World","Wiseguys, The",1997,United Kingdom of Great Britain and Northern Ireland,0:00:00,,,"['Casino ""Sans Pareil""', 'Casino ""Sans Pareil"" (Croupiers reprise)', 'A Better World, Parts 1 & 2']"
mbrainz_10345,These Days,Soul Basement,,,0:00,,,"['Still One', 'I Want You', ""You Don't Know"", 'Love & Understanding', 'Wonderful', 'Daily Bread', 'Feeling Is Good', 'Give Me Some Time', 'And Maybe...']"
mbrainz_10365,Animal Liberation Benefit CD,Coquettish,2006,France,16:45,,,"['My Favorite Tune', 'You Should Be Free This Is Your Life', 'Such a Foolish Man', 'You Chase Me', 'Vans & Dickies', 'Skachoo', 'Fuck x Fuck', 'Satanic Ska', 'Break Down', 'Facist Pig', 'So, I Say Good Bye']"
mbrainz_10369,Visions,Butt Boy,01.01.2002,States of America,58:20,,,"['The Waltz of the Imps', 'Riding Centaurs', 'The Ritual of the Whip', 'The Beating of the Minotaur', 'The Hooded Ungulate Flogger', 'The Swaying of the Succubi', 'The Ritual Dance of the Satyrs']"
mbrainz_10374,Chrome,Nangdo,19.03.2010,United Kingdom of Great Britain and Northern Ireland,0:39:55,,,"['Intro', 'The Makings', 'Minor Event', 'Chromed Out', 'Rattan Joint', 'Explosion (Soul)', 'Skaffa Flute', 'Rotation', ""Foolin'"", 'The Look', 'Trying Hard', 'Get Away', 'Spinning', 'Cry', '1st 2 Know', 'Just Begun']"
mbrainz_10376,The Man Who Invented Soul,"Cooke, Sam (and others)",2000-01-01,United States of America,,,,"['You Send Me', 'Summertime, Part 1', 'For Sentimental Reasons', 'Desire Me', 'Lonely Island', 'You Were Made for Me', 'Win Your Love for Me', 'Love You Most of All', 'Everybody Likes to Cha Cha Cha', 'No One (Can Ever Take Your Place)', 'Only Sixteen', 'With You', 'Crazy in Love With You', 'I Got a Right to Sing the Blues', 'Comes Love', 'Ainâ€™t Nobodyâ€™s Business', 'Little Things You Do', 'There, Iâ€™ve Said It Again', 'When I Fall in Love', 'Letâ€™s Go Steady Again', 'Wonderful World', 'Chain Gang', 'I Belong to Your Heart', 'Teenage Sonata', 'Love Me', 'Sad Mood (unreleased version)', 'If I Had You', 'You Belong to Me', 'Sad Mood', 'Tenderness', 'Thatâ€™s It, I Quit, Iâ€™m Movinâ€™ On', 'Hold On', 'Cupid', 'Tenderness (unreleased version)', 'Donâ€™t Get Around Much Anymore', 'Nobody Knows You When Youâ€™re Down and Out', 'Baby, Wonâ€™t You Please Come Home', 'Trouble in Mind', 'Out in the Cold Again', 'Exactly Like You', 'Since I Met You Baby', 'Iâ€™m Just a Lucky So and So', 'But Not for Me', 'Youâ€™re Always on My Mind', 'Feel It', 'Itâ€™s All Right', 'Twistinâ€™ the Night Away', 'One More Time', 'Donâ€™t Cry on My Shoulder', 'Somebodyâ€™s Gonna Miss Me', 'Somebody Have Mercy', 'Sugar Dumpling', 'Nothinâ€™ Can Change This Love (unreleased version)', 'Talkinâ€™ Trash', 'Movinâ€™ and aâ€™Groovinâ€™', 'Soothe Me', 'Having a Party', 'Bring It On Home to Me', 'A Whole Lotta Woman', 'Iâ€™m Gonna Forget About You', 'Nothinâ€™ Can Change This Love', 'Baby, Baby, Baby', 'Send Me Some Lovinâ€™', 'All the Way', 'Smoke Rings', 'I Wish You Love', 'Driftinâ€™ Blues', 'Little Girl', 'Cry Me a River', 'These Foolish Things', 'Frankie and Johnny', 'I Ainâ€™t Gonna Cheat on You No More', 'Another Saturday Night (previously unreleased take)', 'Love Will Find a Way', 'Cool Train', 'Nobody Knows the Trouble Iâ€™ve Seen', 'Lost and Lookinâ€™', 'Mean Old World', 'Please Donâ€™t Drive Me Away', 'I Lost Everything', 'Get Yourself Another Fool', 'Little Red Rooster', 'Laughinâ€™ and Clowninâ€™', 'Trouble Blues', 'You Gotta Move', 'Foolâ€™s Paradise', 'Shake, Rattle and Roll', 'Feel It', 'Chain Gang', 'Cupid', 'Medley: Itâ€™s All Right / For Sentimental Reasons', 'Twisting the Night Away', 'Somebody Have Mercy', 'Bring It On Home to Me', 'Nothing Can Change This Love', 'Having a Party']"
mbrainz_10382,"Singles 1,2,3 (album)","Dougall, Rose Elinor",,,0:00:00,,,"['Another Version of Pop Song', 'Start/Stop/Synchro', 'Static Saturday', 'Fallen Over', 'False Hopes', 'Another Version of Pop Song (version)', 'First Time This Year']"
mbrainz_10384,Binary Protection,x3d5,02/09/2010,Russian Federation,44:57,,,"['Snow Factory', 'Automatic Weather Station (feat. Plastique)', 'Fracture', 'Nord', 'My Work', 'Khna (feat. Plastique)', 'Wall', 'Microsity', 'Train', 'Into Hybrid Engine (feat. Plastique)']"
mbrainz_10391,Art of life live,X JAPAN,03/18/1998,Japan,2054,,,['Art of life']
mbrainz_10399,Weathervanes,Freelance Whales,13.04.2010,States United of America,0:45:20,,,"['Generator ^ First Floor', 'Hannah', 'Location', 'Channels', 'Starring', 'Kilojoules', 'Broken Horse', 'Danse Flat', 'Ghosting', 'We Could Be Friends', 'Vessels', 'Generator ^ Second Floor', 'The Great Estates']"
mbrainz_10402,Early Warning,Standing Waves,,United States of Americ,0,,,"['Early Warning', 'No Judy', 'Love-Why Not']"
mbrainz_10415,Get Ready,"Curtis, King",01.01.1970,United States of America,0:28:23,,,"['Get Ready', 'Sugar Foot', ""Floatin'"", 'Bridge Over Troubled Water', ""Soulin'"", ""Teasin'"", 'Something', 'Promenade', 'Let It Be', ""Someday We'll Be Together""]"
mbrainz_10426,Brighten the Corners,Pavement,1997,Canada,46m 9s,,,"['Stereo', 'Shady Lane / J vs. S', 'Transport Is Arranged', 'Date With IKEA', 'Old to Begin', 'Type Slowly', 'Embassy Row', 'Blue Hawaiian', 'We Are Underused', 'Passat Dream', 'Starlings of the Slipstream', 'Fin']"
mbrainz_10428,Its Time to Testify... Brothers and Sisters,The Flaming Sideburns,,,2412,,,"['La bruta', 'Crashing Down', 'Close to Disaster', ""Rock 'n' Roll Boogaloo"", 'Testify', 'Out of Our Tree', 'Jaguar Girls', 'Ungrounded Confusion', ""You Weren't Using Your Head"", 'Women', ""Sailin' Thru Cloud Nine"", ""Sugar Ain't That Sweet"", 'Action Woman']"
mbrainz_10431,Gentlemen Jack EP,Melchior Productions,2010,Germany,0:00:00,,,"['Feel Sensual (No Sweat mix)', 'Damsel in Distress', 'To the Rescue']"
mbrainz_10449,<Post-<UNCHANGED>>,Japandroids (and others),2009-06-08,United States of America,0:35:44,,,"['The Boys Are Leaving Town', 'Young Hearts Spark Fire', 'Wet Hair', 'Rockers East Vancouver', 'Heart Sweats', 'Crazy/Forever', 'Sovereignty', 'I Quit Girls']"
mbrainz_10450,The Singles Tour 86-98,Depeche Mode,01.01.1998,Germany,1h 10m 11s,,,"['Intro', 'A Question of Time', 'World in My Eyes', 'Policy of Truth', ""It's No Good"", 'Never Let Me Down Again', 'Walking in My Shoes', 'Only When I Love Myself', 'A Question of Lust', 'Home', 'Personal Jesus (K.C. mix)', ""Just Can't Get Enough (Disconet mix)"", 'A Question of Time (Class-X mix)', 'Condemnation', 'In Your Room', 'Useless', 'Enjoy the Silence', 'Personal Jesus', 'Barrel of a Gun', 'Somebody', 'I Feel You', 'Just CanÂ´t Get Enough', 'Enjoy the Silence (Indefinite mix)', 'Never Let Me Down Again (Groovy mix)']"
mbrainz_10451,Beyond Reality,Cwill,,,2516,,,"['Not a Devil Not a God', 'Words of War', 'Everywhere I Turn', 'Lost', 'We Shall Rise', 'Never Escape', ""Won't Erase My Presence"", 'Beyond Reality', 'From the Start', 'Darkness', '[untitled]', '[untitled]', '[untitled]', '[untitled]']"
mbrainz_10465,Alice au pays des merveilles,Klimperei,2000-01-01,France,67:01,,,"['Overture', 'Lapin', 'La descente dans le terrier du lapin', 'La mare de larmes I', 'Le petit crocodile', 'La mare de larmes II', ""Queue d' histoire"", 'Le lapin fait donner le petit bill', 'Les conseils du ver a soie', 'Berceuse', 'Le chat du cheshire', 'Un the chez les fous', 'Les cartes a jouer', '(Lapin)', 'Le terrain de croquet de la reine', 'La tortue fantaisie', 'La lurette', 'Le quadrille des homards', 'La chanson du homard', 'Alice', 'Soupe de tortue', 'Qui a derobe les tartes?', 'Le lapin blanc parle', 'Le jardin des fleurs vivantes', 'Les insectes du miroir', 'Twideuldeume et Twideuldie', 'Laine et eau', 'Heumpty Deumpty', 'Le lion et la licorne', ""C'est un objet de mon invention"", 'La reine Alice', 'Kitty', 'Qui a reve cela?', '1ere crise: Le debarquement', ""2eme crise: Le discours de l'home a la cloche"", '3eme crise: Le recit du boulanger', '4eme crise: La chasse', '5eme crise: La lecon du castor', ""6eme crise: Le reve de l'avocat"", '7eme crise: Le sort du banquier', '8eme crise: La disparition']"
mbrainz_10470,How Big Can You Get?: The Music of Cab Calloway,Big Bad Voodoo Daddy,,,44:36,,,
mbrainz_10474,Last Judgement,Excruciation,01.01.1987,Switzerl,0:18:01,,,"['At the Edge of Madness', 'The Silence', 'Hateful Pain', 'Desperate End (Nuclear Nightmare)', 'Mirror of Eternity']"
mbrainz_10533,Diversity,Gentleman,2010-O4-O9,Germany,3964,,,"['The Reason', 'Ina Time Like Now', 'Lonely Days', 'Regardless', 'It No Pretty', 'I Got to Go', 'The Finish Line', 'Changes', 'To the Top', 'No Time to Play', 'Fast Forward', 'Hold on Strong', 'Moment of Truth', 'Tempolution', 'Another Melody', 'Help', 'Along the Way', 'Good Old Days', 'Everlasting Love']"
mbrainz_10535,Hidden,These New Puritans (and others),2010-01-18,United Kingdom of Great Britain and Northern Ireland,2580,,,"['Time Xone', 'We Want War', 'Three Thousand', 'Hologram', 'Attack Music', 'Fire-Power', 'Orion', 'Canticle', 'Drum Courts - Where Corals Lie', 'White Chords', '5']"
mbrainz_10539,Swedish Erotica,Swedish Erotica,01/01/1989,,3029,,,"[""Rock 'n' Roll City"", 'Love on the Line', ""We're Wild, Young and Free"", 'Hollywood Dreams', 'Love Hunger', 'Love Me or Leave Me', 'Downtown', 'She Drives Me Crazy', 'Loaded Gun', 'Rip It Off', 'Break the Walls', 'Hollywood Dreams (acoustic version)']"
mbrainz_10547,Three Songs for Weddings and Funerals,"Illegal Artists, The",1993-01-01,Germany,825,,,"['New World (Killing a Kennedy)', 'Avalanche Drive', 'The Angel, the Trucker and Me']"
mbrainz_10579,Psychic Funeral,Expo '70,,United States of America,2220,,,"['Black Candles', 'Psychokinesis Within Meme']"
mbrainz_10590,J'respire encore,Papaz,2005-05-17,,0:54:39,,,"['Soif de Vivre', ""C'est ca l'deal"", ""That's Me"", ""J'respire encore"", 'On finit par se perdre', 'Useless', 'Famous', ""Don't Wanna Leave"", 'Sors du street', ""C'qui m'blesse"", 'Sorry God', 'Iro prod', 'Catch Me If You Can', 'Politiquement correct', 'Avous deux', ""Paz n'tertainement"", 'Outro']"
mbrainz_10593,The Crunch and Beyond,RAH Band,05/01/2006,United Kingdom of Great Britain and Northern Ireland,3124,,,"['The Crunch', 'Electric Fling', 'Concrete', 'Is Anybody There?', 'Beyond', 'Space Race', 'Turkey Roll', 'Vampire Vamp', 'Woogie Boogie', 'The Crunch (reprise)', 'Jiggery Pokery', 'Porridge']"
mbrainz_10596,Visions of Light,Iron Thrones,2008,,0:53:30,,,"['Swell to the Surface', 'The Dark Design', 'Heart of the Light', 'Still Waters', 'The Final Farewell', 'Illumination', 'Wading...', 'Cover of Smoke', 'Shadows Revealed']"
mbrainz_10597,The Outsider,"Smooth, C.L.",2007-01-01,United America of States,4432,,,"['Intro... All We Ever Know', 'I Need a Boss (remix)', 'No Justice', 'Impossible (J Perdido remix)', 'I Gotta Love (live in Holland)', 'Down With the Kings (live in Holland)', 'Warm Outside (Drawzilla remix)', 'Gorilla Pimpin', 'Is It Really You?', 'The Outsider', 'Get Back', 'Straighten It Out (live in Holland)', 'Love Is a Battlefield', 'War of the Roses', 'Smoke in the Air (live in Holland)', 'Who You Gonna Trust?', 'Mezmorized (B Rook remix)', 'Heaven Only Know (John Legend remix)', 'American Gangster', 'American Me (live in Holland)', 'T.R.O.Y. (live in Holland)', 'DJ Shakim Outro']"
mbrainz_10598,Clinging to a Scheme,"Radio Dept., The",2010,Sweden,0:34:57,,,"['Domestic Scene', ""Heaven's on Fire"", 'This Time Around', 'Never Follow Suit', 'A Token of Gratitude', 'The Video Dept.', 'Memory Loss', 'David', 'Four Months in the Shade', 'You Stopped Making Sense']"
